query                key                  attn_score          
_les                 _à                   92.90623            
_Irwin               _Irwin               92.89525            
_Liu                 _Xu                  92.89232            
_winter              _winter              92.86709            
_Revelation          _Revelation          92.83980            
�                    �                    92.83133            
_Pengu               _Pengu               92.82697            
_Proposition         _Proposition         92.82269            
_�                   _�                   92.80696            
Tom                  _Tom                 92.78392            
hetamine             hetamine             92.76353            
_Eco                 _Eco                 92.75850            
_Esp                 _Esp                 92.75614            
_Xu                  _Xu                  92.71000            
Jon                  Jon                  92.69229            
Rex                  Rex                  92.68658            
_detrim              _detrim              92.67268            
_ki                  _ki                  92.65363            
_Lust                _Lust                92.63851            
_Ralph               _Ralph               92.61946            
_Wang                _Zhang               92.60849            
_Capt                _Capt                92.58848            
dyl                  dyl                  92.55360            
Sher                 Sher                 92.54890            
_Chow                _Chow                92.51778            
_sor                 _sor                 92.51275            
_photographic        _photographic        92.50289            
_stereo              _stereo              92.48807            
ihu                  ihu                  92.47526            
arah                 arah                 92.46207            
_Zhang               _Liu                 92.45609            
_Det                 _Det                 92.44917            
_legislation         _legislation         92.44444            
_Auditor             _auditor             92.42858            
_wal                 _wal                 92.40303            
_Pay                 Pay                  92.39980            
Join                 Join                 92.38586            
SELECT               SELECT               92.38569            
_Nicolas             _Nicolas             92.38372            
_Zhang               _Zheng               92.36269            
_Rubber              _Rubber              92.35756            
_cloudy              _cloudy              92.33829            
_Happiness           _Happiness           92.33289            
_horm                _horm                92.32864            
_þ                   _þ                   92.30614            
_Nem                 _Nem                 92.30170            
_monop               _monop               92.27208            
_payout              _payout              92.26589            
�                    �                    92.21789            
_dom                 _dom                 92.21043            
DIT                  DIT                  92.20516            
_massively           _massively           92.20194            
_produ               _produ               92.19413            
_Bout                _Bout                92.18746            
_Mei                 _Zhang               92.18721            
_vict                _vict                92.18127            
_Bod                 _Bod                 92.16663            
JECT                 JECT                 92.13673            
Shape                Shape                92.12608            
_Centauri            _Centauri            92.10324            
_Ryu                 _Ryu                 92.10098            
conom                conom                92.09084            
_Restaurant          _Restaurant          92.08714            
の�                   の�                   92.07829            
_802                 _802                 92.07802            
_Gift                _Gift                92.06650            
_Kop                 _Kop                 92.05481            
RESULTS              RESULTS              92.02757            
multipl              multipl              92.02528            
_analges             _analges             92.01550            
_zinc                _zinc                92.00461            
_Ae                  _Ae                  91.98495            
Snake                Snake                91.98343            
_ecological          _ecological          91.98051            
METHOD               METHOD               91.95751            
_saliva              _saliva              91.95353            
_appropri            _appropri            91.94878            
_Cit                 _Cit                 91.94672            
_LDS                 _LDS                 91.93777            
_Brass               _Brass               91.92792            
_Appro               _Appro               91.92119            
_migr                _migr                91.91706            
_Dar                 _Dar                 91.90931            
_prosec              _prosec              91.90343            
_unpre               _unpre               91.90163            
_climates            _climates            91.87923            
_ell                 _ell                 91.87826            
externalActionCode   externalActionCode   91.85697            
ONEY                 ONEY                 91.80230            
_Elias               _Elias               91.79411            
_Tammy               _Tammy               91.76183            
_François            _François            91.75117            
_Sunny               _Sunny               91.74491            
_Caucas              _Caucas              91.74354            
_SUPER               _SUPER               91.73830            
_Oops                _Oops                91.73507            
_acet                _acet                91.69033            
_Thick               _Thick               91.68510            
_Id                  _Id                  91.68071            
_chirop              _chirop              91.67699            
_Luo                 _Zhang               91.67506            
_Meng                _Jian                91.66776            
�                    �                    91.65945            
�                    �                    91.64810            
{\                   {\                   91.63771            
_obsc                _obsc                91.62373            
appropri             appropri             91.61619            
_Vaugh               _Vaugh               91.61349            
_Hun                 _Hun                 91.60530            
_laundry             _laundry             91.58194            
_Alexandra           _Alexandra           91.57209            
miah                 miah                 91.56443            
_paramed             _paramed             91.55009            
_\(\                 _$\                  91.54498            
_shorth              _shorth              91.52240            
_carniv              _carniv              91.51046            
_tuberculosis        _tuberculosis        91.50996            
_electro             _electro             91.50813            
_Audrey              _Audrey              91.48240            
.$                   .$                   91.48209            
_paw                 _paw                 91.47108            
_Midwest             _Midwest             91.46339            
_potato              _potato              91.44449            
_Sung                _Sung                91.44022            
_Boulder             _Boulder             91.42299            
_Soc                 _Soc                 91.40790            
NAME                 NAME                 91.40683            
_balcon              _balcon              91.40105            
_cand                _cand                91.39185            
_semen               _semen               91.38684            
Sarah                Sarah                91.36221            
odka                 odka                 91.35397            
_fec                 _fec                 91.34320            
_glyphosate          _glyphosate          91.34248            
_pelvic              _pelvic              91.33961            
April                April                91.33285            
_justices            _justices            91.32335            
_Maggie              _Maggie              91.32187            
ylene                ylene                91.31890            
_McInt               _McInt               91.30899            
beans                beans                91.30424            
_fireball            _fireball            91.30347            
_mango               _mango               91.30185            
_Mik                 _Mik                 91.28095            
_Leonardo            _Leonardo            91.26349            
_Ethan               _Ethan               91.26125            
_unfor               _unfor               91.25745            
_Tommy               _Tommy               91.25479            
REF                  REF                  91.25146            
_Ripple              _Ripple              91.23592            
_Ticket              _Ticket              91.23238            
REL                  REL                  91.21866            
_bodily              _bodily              91.21033            
_Francois            _Loren               91.19226            
_DRAGON              _DRAGON              91.18562            
_Ser                 _Ser                 91.18176            
_glyc                _glyc                91.18025            
_EFF                 _EFF                 91.17758            
_Sere                _Sere                91.17644            
_arg                 _arg                 91.16732            
_prohib              _prohib              91.15348            
\/\/                 \/\/                 91.13966            
_epis                _epis                91.13658            
_Homeland            _Homeland            91.13655            
_Ogre                _Ogre                91.13033            
_Sabbath             _Sabbath             91.12093            
_tac                 _tac                 91.11935            
_Pau                 _Pau                 91.11614            
_Swamp               _Swamp               91.10992            
/?                   /?                   91.10583            
_Stur                _Stur                91.10397            
_Anxiety             _Anxiety             91.09554            
à                    à                    91.09161            
_Supreme             _Supreme             91.07449            
ァ                    ァ                    91.06459            
�                    �                    91.05590            
_starvation          _starvation          91.04816            
_Sz                  _Sz                  91.04678            
_Loki                _Skywalker           91.04272            
_antibiotic          _antibiotic          91.03471            
_Curtis              _Curtis              91.02831            
_electron            _electron            91.02248            
_conv                _conv                91.00434            
_recip               _recip               91.00061            
_inconsist           _inconsist           90.99424            
_SHAR                _SHAR                90.99362            
_chapel              _chapel              90.99013            
_Comet               _Comet               90.97779            
ocrates              ocrates              90.96760            
_prag                _prag                90.96293            
_Alv                 _Alv                 90.95350            
_stimul              _stimul              90.95269            
Recommend            Recommend            90.94895            
_Forbes              _Forbes              90.94115            
_cheaply             _cheaply             90.93782            
($                   _$\                  90.93514            
_financially         _financially         90.88428            
_tooth               _tooth               90.87170            
_accomp              _accomp              90.86523            
_electrical          _electrical          90.86169            
_rul                 _rul                 90.86157            
ikhail               _Mikhail             90.86025            
_VER                 _VER                 90.85683            
_Ecc                 _Ecc                 90.84005            
_peanut              _peanut              90.82043            
_GMO                 _GMO                 90.81824            
_Sai                 _Sai                 90.81818            
_FDA                 _FDA                 90.80771            
_Julio               _Julio               90.79031            
_Autism              _Autism              90.75792            
_pestic              _pestic              90.74062            
Hero                 Hero                 90.73965            
_Conservation        _Conservation        90.73485            
_Supplementary       _Supplementary       90.73331            
_Pew                 _Pew                 90.72337            
ulic                 ulic                 90.70834            
_Honest              _Honest              90.69743            
_Hos                 _Hos                 90.69237            
_Haskell             _Haskell             90.68369            
_Ron                 _Ron                 90.67446            
_offic               _offic               90.66197            
_Dek                 _Dek                 90.63845            
_violet              _violet              90.63739            
_rear                _rear                90.63465            
_Spart               _Spart               90.63173            
_Copper              _Copper              90.62755            
_Bake                _Bake                90.62693            
luaj                 luaj                 90.60182            
_Newt                _Newt                90.59739            
_Zhou                _Zhang               90.59009            
_Frederick           _Frederick           90.58526            
�                    �                    90.55949            
_Ec                  _Ec                  90.55221            
_verte               _verte               90.53574            
_parad               _parad               90.53452            
nton                 nton                 90.53376            
_optical             _optical             90.52166            
_Lur                 _Lur                 90.51967            
_Inquisitor          _Inquisitor          90.51809            
resy                 resy                 90.50671            
_opin                _opin                90.50328            
iop                  iop                  90.49996            
_influ               _influ               90.49439            
farious              farious              90.49184            
_Depths              _Depths              90.48489            
_�                   �                    90.47932            
�                    �                    90.46767            
_targ                _targ                90.46565            
_coral               _coral               90.46176            
_Hearth              _Hearth              90.45690            
_Kenyan              _Kenyan              90.44344            
_SCH                 _SCH                 90.43341            
_Naruto              _Naruto              90.40224            
_WARN                _WARN                90.39861            
_Plains              _Plains              90.37949            
highly               highly               90.37825            
_25                  _cent                90.35835            
_inspector           _inspector           90.34368            
_Salary              _Salary              90.33477            
Feb                  Feb                  90.33442            
llah                 llah                 90.33121            
_Goldman             _Goldman             90.33107            
_LDL                 _LDL                 90.31480            
_DAM                 _DAM                 90.30974            
Ã                    Ã                    90.30164            
ICAN                 ICAN                 90.30045            
_HF                  _HF                  90.29752            
_Zhou                _Zheng               90.29072            
Yang                 _Zhang               90.27261            
_Voter               _Voter               90.27102            
_Ily                 _Ily                 90.26601            
_BAL                 _BAL                 90.24340            
_JPEG                _JPEG                90.23160            
OST                  OST                  90.22531            
_tu                  _tu                  90.19875            
_Brus                _Brus                90.19869            
_ADD                 _ADD                 90.18877            
_Zhao                _Zhang               90.18363            
_marketers           _marketers           90.17471            
_Austral             _Austral             90.16203            
_antidepress         _antidepress         90.15945            
jp                   jp                   90.14960            
_Milton              _Milton              90.13496            
_Liu                 _Zheng               90.12960            
_Carbuncle           _Carbuncle           90.12753            
oldown               _cooldown            90.10806            
_socio               _socio               90.10036            
_vodka               _vodka               90.09623            
_Osh                 _Osh                 90.09554            
_Har                 _Har                 90.09368            
_Loren               _Loren               90.06266            
_rall                _rall                90.06067            
_ingred              _ingred              90.05618            
_Dos                 _Dos                 90.03918            
_Hera                _Hera                90.03822            
_vegetable           _vegetable           90.01317            
_Rick                _Rick                90.01288            
_rebell              _rebell              90.00361            
_captivity           _captivity           89.99454            
_---------------------------------------------------------------- _---------------------------------------------------------------- 89.99370            
_refriger            _refriger            89.96558            
_Nim                 _Nim                 89.95824            
_volt                _volt                89.95200            
_Rosen               _Rosen               89.94647            
_selectively         _selectively         89.94192            
_Mei                 _Luo                 89.93430            
_Caucus              _Caucus              89.93415            
ognitive             ognitive             89.93370            
_Zheng               _Xie                 89.92351            
_SV                  _SV                  89.92171            
_overweight          _overweight          89.91371            
_Werner              _Werner              89.90425            
_Disability          _Disability          89.88377            
_Stephan             _Stephan             89.88232            
_deg                 _deg                 89.87198            
_�                   _�                   89.86781            
ienne                ienne                89.86423            
_Plain               _Plain               89.86076            
Rick                 Rick                 89.84357            
